City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Exaplatanos,GR,40.9772,22.125,70.21,49,1,6.31,clear sky
286,Brcko,BA,44.8728,18.8083,75.02,71,80,3.53,broken clouds
287,Correntina,BR,-13.3433,-44.6367,87.76,21,3,1.3,clear sky
288,Jibuti,DJ,11.5,42.5,88.32,21,100,8.7,overcast clouds
289,Hailar,CN,49.2,119.7,52.03,44,60,7.78,broken clouds
290,Nanortalik,GL,60.1432,-45.2371,39.7,77,89,5.39,overcast clouds
291,Birao,CF,10.2849,22.7882,86.38,46,93,11.68,overcast clouds
292,Bacolod,PH,10.6667,122.95,78.57,85,43,3.65,scattered clouds
293,Dubovskoye,RU,47.4092,42.7575,55.58,90,100,8.1,heavy intensity rain
294,Morales,CO,2.757,-76.6172,72.57,72,48,3.09,moderate rain
295,Bambous Virieux,MU,-20.3428,57.7575,73.22,68,4,14.0,clear sky
296,Taltal,CL,-25.4,-70.4833,65.19,70,22,4.83,few clouds
297,Haines Junction,CA,60.7522,-137.5108,55.49,45,9,3.8,clear sky
298,Berlevag,NO,70.8578,29.0864,39.15,87,100,11.5,light rain
299,Hun,LY,29.1268,15.9477,73.62,17,0,7.99,clear sky
300,Great Yarmouth,GB,52.6083,1.7305,61.45,79,100,5.01,overcast clouds
301,Ahipara,NZ,-35.1667,173.1667,59.95,78,100,12.93,overcast clouds
302,Alta Floresta,BR,-9.8756,-56.0861,82.62,46,0,2.64,clear sky
303,San Lazaro,BZ,18.0387,-88.6622,97.48,41,80,14.45,broken clouds
304,Salvador,SV,13.8333,-88.9167,79.2,68,91,4.83,overcast clouds
305,Lavrentiya,RU,65.5833,-171.0,37.17,87,72,9.26,broken clouds
306,Padang,ID,-0.9492,100.3543,77.7,89,97,2.91,heavy intensity rain
307,Sibiti,CG,-3.6819,13.3499,70.41,93,100,1.68,overcast clouds
308,Lata,PT,40.1629,-8.3327,64.81,84,24,2.93,few clouds
309,Quang Ngai,VN,15.1167,108.8,77.16,92,100,2.77,overcast clouds
310,Farafangana,MG,-22.8167,47.8333,68.59,85,1,2.64,clear sky
311,Okha,RU,53.5739,142.9478,32.52,99,100,9.51,snow
312,Mayna,RU,54.1135,47.6231,37.62,81,72,4.97,broken clouds
313,Camacari,BR,-12.6975,-38.3242,82.17,63,54,9.04,broken clouds
314,Luang Prabang,LA,19.8856,102.1347,74.7,99,100,1.19,moderate rain
315,Barstow,US,34.8986,-117.0228,77.99,14,0,2.8,clear sky
316,Houston,US,29.7633,-95.3633,96.42,63,75,14.97,haze
317,Adrar,MR,20.5022,-10.0711,93.99,8,2,2.28,clear sky
318,Alexandria,EG,31.2156,29.9553,68.14,60,0,12.77,clear sky
319,Peniche,PT,39.3558,-9.3811,72.09,82,3,21.14,clear sky
320,Cody,US,44.5263,-109.0565,47.59,53,100,7.0,overcast clouds
321,Kaikalur,IN,16.5667,81.2,85.73,58,98,5.99,overcast clouds
322,Araouane,ML,18.9048,-3.5265,97.86,11,17,6.91,few clouds
323,Biak,ID,-0.9131,122.8766,75.11,80,99,4.76,overcast clouds
324,Nelson Bay,AU,-32.7167,152.15,64.0,97,95,6.38,light rain
325,Homer,US,59.6425,-151.5483,60.69,35,0,13.8,clear sky
326,Saldanha,ZA,-33.0117,17.9442,58.8,77,47,10.47,scattered clouds
327,Kupang,ID,-10.1667,123.5833,76.15,84,51,8.34,broken clouds
328,Kieta,PG,-6.2167,155.6333,78.04,84,21,1.05,few clouds
329,Kununurra,AU,-15.7667,128.7333,71.58,40,6,2.3,clear sky
330,Podosinovets,RU,60.2776,47.0659,30.81,97,100,7.67,light snow
331,Guerrero Negro,MX,27.9769,-114.0611,71.44,51,8,10.09,clear sky
332,Watertown,US,42.3709,-71.1828,90.9,64,0,4.0,clear sky
333,Daphne,US,30.6035,-87.9036,87.85,72,20,18.41,few clouds
334,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,61.11,61,100,6.78,overcast clouds
335,Mpanda,TZ,-6.3655,31.0409,67.23,75,93,2.24,overcast clouds
336,Muisne,EC,0.6,-80.0333,80.56,81,92,6.8,overcast clouds
337,Huron,US,41.1501,-82.5499,85.44,63,100,13.13,overcast clouds
338,Vardo,NO,70.3705,31.1107,39.18,81,75,21.85,broken clouds
339,Murray Bridge,AU,-35.1167,139.2667,55.13,80,100,3.91,overcast clouds
340,Tessalit,ML,20.1986,1.0114,95.81,12,9,11.41,clear sky
341,Ostrowiec Swietokrzyski,PL,50.9294,21.3853,59.09,67,77,14.74,light rain
342,Verkhoyansk,RU,67.5447,133.385,38.97,79,100,3.85,overcast clouds
343,Huesca,ES,42.1362,-0.4087,83.08,43,0,4.61,clear sky
344,Traverse City,US,44.7631,-85.6206,60.73,69,100,5.99,overcast clouds
